,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
AER Well Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL ID,,LICENSE #,"LICENSE
DATE",,WELL NAME,LICENSEE,OPERATOR,"SURFACE
LOCATION","LICENSE
STATUS","LICENSE
STATUS
DATE","SPUD
DATE","RIG
RELEASE DATE","FINAL
DRILL
DATE",ON PROD DATE,"WELL
STATUS","ABANDON
DATE","LAST
PROD
DATE","LAST
INJECTION
DATE","SURFACE 
OFFSETS","SURFACE
LATITUDE","SURFACE
LONGITUDE","DOWNHOLE
LATITUDE","DOWNHOLE
LONGITUDE","H2S
(%)","POOL
(Production Control)",SCVF
100 / 10-05-064-19 W5 / 2,,0018037,"Oct 30, 1959",,SOC KAYBOB 10-5-64-19               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-05-064-19W5M,Issued      ,"Oct 30, 1959","Nov 17, 1959",,"Dec 26, 1959","Dec 22, 1966",GAS PUMP,,"May 1, 2023",,S 603.5 W 603.5,54.510753,-116.833573,54.510753,-116.833573,,NOTIKEWIN B,NO
102 / 10-10-064-19 W5 / 0,,0134087,"May 30, 1988",,SOC KAYBOB 10-10-64-19              ,ALPHABOW ENERGY LTD.,,10-10-064-19W5M,Abandoned   ,"Mar 4, 2004","Jun 27, 1988","Jul 10, 1988","Jul 6, 1988",,ABZONE,"Feb 24, 2004",,,S 482.5 W 707.4,54.526299,-116.784777,54.526299,-116.784777,0,,NO
102 / 10-10-064-19 W5 / 2,,0134087,"May 30, 1988",,SOC KAYBOB 10-10-64-19              ,ALPHABOW ENERGY LTD.,,10-10-064-19W5M,Abandoned   ,"Mar 4, 2004","Jun 27, 1988","Jul 10, 1988","Jul 6, 1988",,ABD,"Feb 24, 2004",,,S 482.5 W 707.4,54.526299,-116.784777,54.526299,-116.784777,0,,NO
100 / 04-12-064-19 W5 / 0,,0126870,"Jun 15, 1987",,SOC KAYBOB 4-12-64-19               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,04-12-064-19W5M,Suspension  ,"Dec 22, 2006","Jun 17, 1987","Jul 3, 1987","Jun 29, 1987","Dec 28, 1987",GAS SUSP,,"Dec 1, 2006",,N 340 E 330.3,54.519221,-116.743221,54.519221,-116.743221,,COMMINGLED POOL 003,NO
100 / 12-19-064-19 W5 / 0,,0158358,"May 18, 1993",,SOC KAYBOB 12-19-64-19              ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,12-19-064-19W5M,Issued      ,"May 18, 1993","Jun 6, 1993","Jun 19, 1993","Jun 15, 1993","Oct 12, 1994",GAS PUMP,,"May 1, 2023",,S 564.7 E 340,54.554634,-116.86911,54.554634,-116.86911,,COMMINGLED POOL 010,NO
102 / 02-20-064-19 W5 / 0,,0188066,"May 28, 1996",,SOC KAYBOB 2-20-64-19               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,02-20-064-19W5M,Issued      ,"May 28, 1996","Jun 9, 1996","Jun 13, 1996","Jun 13, 1996","Aug 24, 1996",GAS FLOW,,"Apr 1, 2023",,N 201.2 W 615.6,54.547079,-116.833781,54.547079,-116.833781,0,COMMINGLED POOL 010,NO
100 / 12-23-064-19 W5 / 0,,0015291,"May 30, 1958",,SOC KAYBOB 12-23-64-19              ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,12-23-064-19W5M,Suspension  ,"Oct 31, 2022","Aug 1, 1958",,"Oct 4, 1958","Jan 15, 1963",GAS FLOW,,"Oct 1, 2021",,S 772.4 E 139,54.552783,-116.771394,54.553781,-116.771213,,COMMINGLED POOL 010,NO
100 / 10-25-064-19 W5 / 0,,0021006,"Jun 30, 1961",,SOC KAYBOB 10-25-64-19              ,ALPHABOW ENERGY LTD.,,10-25-064-19W5M,RecCertified,"Nov 18, 2019","Jul 14, 1961",,"Jul 25, 1961",,ABD,"Feb 2, 2002",,,S 603.5 W 603.8,54.568916,-116.732783,54.568916,-116.732783,,,NO
100 / 03-35-064-19 W5 / 0,,0185151,"Jan 30, 1996",,SOC KAYBOB 3-35-64-19               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,03-35-064-19W5M,Issued      ,"Jan 30, 1996","Mar 13, 1996","Mar 21, 1996","Mar 19, 1996","Mar 11, 1997",GAS FLOW,,"Apr 1, 2020",,N 288.7 E 458.8,54.576955,-116.766453,54.576955,-116.766453,0,COMMINGLED POOL 010,NO
102 / 01-12-064-20 W5 / 0,,0395154,"Mar 5, 2008",,SOC KAYBOB 1-12-64-20               ,ALPHABOW ENERGY LTD.,PARAMOUNT RESOURCES LTD.,01-12-064-20W5M,Suspension  ,"Nov 30, 2015","Mar 14, 2008","Mar 21, 2008","Mar 18, 2008","Sep 17, 2008",GAS SUSP,,"Nov 1, 2014",,N 302.4 W 159.5,54.518874,-116.877132,54.518874,-116.877132,,NOTIKEWIN B,NO
100 / 10-14-064-20 W5 / 0,,0026446,"Jul 9, 1964",,SOC KAYBOB 10-14-64-20              ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-14-064-20W5M,Issued      ,"Jul 9, 1964","Jul 12, 1964",,"Aug 9, 1964","Apr 3, 1970",GAS FLOW,,"May 1, 2023",,S 603.2 W 604.4,54.539852,-116.909224,54.539852,-116.909224,1.45,COMMINGLED POOL 010,NO
100 / 07-16-064-20 W5 / 0,,0031175,"Oct 21, 1966",,SOC KAYBOB 7-16-64-20               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,07-16-064-20W5M,Issued      ,"Oct 21, 1966","Nov 5, 1966",,"Nov 20, 1966","May 9, 1970",GAS FLOW,,"Jun 1, 2023",,N 593.4 W 604.4,54.53616,-116.959631,54.53616,-116.959631,1.45,COMMINGLED POOL 010,YES
100 / 10-24-064-20 W5 / 0,,0024022,"Mar 27, 1963",,SOC KAYBOB 10-24-64-20              ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-24-064-20W5M,Issued      ,"Mar 27, 1963","Apr 2, 1963",,"Apr 17, 1963","Apr 3, 1970",GAS FLOW,,"May 1, 2023",,S 634 W 604.4,54.554015,-116.884026,54.554015,-116.884026,1.45,COMMINGLED POOL 010,NO
100 / 10-24-064-20 W5 / 2,,0024022,"Mar 27, 1963",,SOC KAYBOB 10-24-64-20              ,ALPHABOW ENERGY LTD.,,10-24-064-20W5M,Issued      ,"Mar 27, 1963","Apr 2, 1963",,"Apr 17, 1963","May 1, 1995",GAS ABZONE,,"Nov 1, 1997",,S 634 W 604.4,54.554015,-116.884026,54.554015,-116.884026,,GETHING B,NO
100 / 06-36-064-20 W5 / 0,,0025508,"Jan 14, 1964",,SOC KAYBOB 6-36-64-20               ,ALPHABOW ENERGY LTD.,,06-36-064-20W5M,Abandoned   ,"Feb 3, 2002","Jan 19, 1964",,"Feb 6, 1964",,ABD,"Feb 3, 2002",,,N 603.5 E 603.5,54.579778,-116.890238,54.579778,-116.890238,,,NO
100 / 10-01-065-18 W5 / 0,,0020013,"Nov 21, 1960",,SOC KAYBOB 10-1-65-18               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-01-065-18W5M,Issued      ,"Nov 21, 1960","Dec 9, 1960",,"Feb 16, 1961","Jan 3, 1979",GAS SUSP,,"May 1, 2018",,S 603.5 W 573,54.597989,-116.581044,54.597989,-116.581044,,NOTIKEWIN B,NO
100 / 10-03-065-18 W5 / 0,,0021217,"Aug 18, 1961",,SOC KAYBOB 10-3-65-18               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-03-065-18W5M,Issued      ,"Aug 18, 1961","Aug 24, 1961",,"Sep 11, 1961","Jan 5, 1979",GAS SUSP,,"May 1, 2018",,S 603.5 W 603.5,54.59801,-116.63193,54.59801,-116.63193,,COMMINGLED POOL 010,YES
100 / 11-06-065-18 W5 / 0,,0030802,"Aug 10, 1966",,SOC KAYBOB 11-6-65-18               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,11-06-065-18W5M,Suspension  ,"Nov 1, 2022","Aug 26, 1966",,"Sep 5, 1966","May 7, 1970",GAS SUSP,,"Jul 1, 2019",,S 603.5 E 593.4,54.598007,-116.713945,54.598007,-116.713945,,COMMINGLED POOL 010,NO
100 / 12-01-065-19 W5 / 0,,0024668,"Aug 15, 1963",,SOC KAYBOB 12-1-65-19               ,ALPHABOW ENERGY LTD.,,12-01-065-19W5M,Suspension  ,"Nov 1, 2022","Aug 25, 1963",,"Sep 27, 1963","Oct 11, 1963",CR-OIL SUSP,,"May 1, 1970",,S 603.5 E 163.1,54.598016,-116.745812,54.598016,-116.745812,1.02,BEAVERHILL LAKE A,NO
100 / 12-01-065-19 W5 / 2,,0024668,"Aug 15, 1963",,SOC KAYBOB 12-1-65-19               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,12-01-065-19W5M,Suspension  ,"Nov 1, 2022","Aug 25, 1963",,"Sep 27, 1963","Jun 7, 1970",GAS SUSP,,"Jan 1, 2020",,S 603.5 E 163.1,54.598016,-116.745812,54.598016,-116.745812,,COMMINGLED POOL 010,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
